,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
0,Беспроводная тату машинка EZ P3 Pro 6 Strokes Gloss Gray,https://tatu-shop.ru/products/ez--p3-pro-gloss-gray,12990,https://i.siteapi.org/aHr0--Me-dR8jp2N0A83wQ_uhng=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/38pbyelofjmskw0scs48ocws8ww4ks,247 г,до 5 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,EZ Customized External Rotor Brushless Motor - 12V/10000 об/мин,,6 месяцев,,tatu-shop
1,Беспроводная тату машинка WJX W3 Wireless Pen 7 Strokes Black,https://tatu-shop.ru/products/wireless-tattoo-machine-wjx-black,19860,https://i.siteapi.org/ryIjn1Kqfhh0Vx_Dz3LnE42onik=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/syjfommsn3kscow4o88ww0cw4ko8kw,198 г,до 4 часов,2 часа,,,4-12 V,,авиационный алюминий с защитным покрытием,,Высокопроизводительный двигатель без сердечника Careless motor 12V/10000 об/мин,,6 месяцев,,tatu-shop
2,Беспроводная тату машинка EZ Popu Diva PMU 6 Stroke X 2 Power Shadow,https://tatu-shop.ru/products/ez-popu-diva-shadow-machine-2-power,21480,https://i.siteapi.org/c1lhW_nLnfjgiOwQZyshDVxgXUU=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/40z70xgmhxogo0wgwc44g8sw40840o,550 гр,5 -7 ч,2 ч,"0 - 4,5 мм",1600 mA/ч,4 - 12V,EZ Popu Diva,авиационный алюминий с защитным покрытием,,,EZ Tattoo,6 месяцев,,tatu-shop
3,Роторная тату машинка Mast P10 Orange,https://tatu-shop.ru/products/mast-p10-orange1,6440,https://i.siteapi.org/wlKN1gXuGXErBJWj-WhTnIONlxw=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/3edzygydcx8gwowo00g80c8gkwco00,117 г,,,,,5 - 8 V 9000 об/мин,,алюминий,3 Ватт,Япония,DragonHawk,6 месяцев,,tatu-shop
4,Беспроводная тату машинка Dragon PGX-30 blue,https://tatu-shop.ru/products/dragon-pgx-30--blue,6990,https://i.siteapi.org/p5IBCrCEq4CTByGQoLK8J6r5qKw=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/m8cwg9i383kwwokgocs4s0cowo48gc,200 г,до 8 часов,,от 0 до 4,,5-12V,Dragon PGX-30,авиационный алюминий,,Япония,Solong Tattoo,,10800 об,tatu-shop
5,Роторная тату машинка DragoArt Storm Gold,https://tatu-shop.ru/products/dragoart--storm-gold,2990,https://i.siteapi.org/-eo4wKte0qVOjvpOCsqWEDv-K_0=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/re1ou1t20c0o4ok8wkogooow8co448,114 г,,,,,6-8V,,авиационный алюминий,,Advanced Customization Motor - 10000 об/мин,DragoArt,,,tatu-shop
6,Беспроводная машинка для татуажа - Mast P20 Permanent With 2.5MM Stroke X 2 Power Blue,https://tatu-shop.ru/products/mast-p20-permanent-2-power-blue,11870,https://i.siteapi.org/9xDl-HrDYr9a_OaUBOdpR8rm738=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/2gpoc3ogzaww0gkokko08cw8skkwwc,122 г,4-6 часов,,"0-3,5 мм",,4-10V,Mast P20,Авиационный алюминий,,Mast Special Edition Coreless Motor 10V/10000 об,,6 месяцев,,tatu-shop
7,Беспроводная тату машинка JACK & ALEXX Easy Pro Strokes 3.5мм,https://tatu-shop.ru/products/jack-alexx-easy-pro-3-5mm,39990,https://i.siteapi.org/i8ogqq1hnZwHFV7L7cSf2s74L4I=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/qin41zumfg0oswoo4cks0ckgw4wgcc,570 гр,до 5 часов,,,,,JACK & ALEXX Easy Pro,Авиационный алюминий,,,,1 год,,tatu-shop
8,Беспроводная тату машинка BRONC V12 MAX Adjustable Wireless Pen 6 Stroke Army Green,https://tatu-shop.ru/products/bronc-v12-army-green,14990,https://i.siteapi.org/qfCgiBAVSAMmVwUmSnyVLfFkOcs=/fit-in/1024x768/center/top/s.siteapi.org/a6596905b2ff451.ru/img/npww4hgxgkggs8cos4oksgog0ckokg,235 г,до 10 часов,,"от 0 до 4,5 мм",,4-12 V,BRONC V12 MAX,Авиационный алюминий,,Швейцарский двигатель 7Вт,,6 месяцев,,tatu-shop
9,,https://28opt.ru/ez-tattoo/,,https://28opt.ru/images/products/tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-portex-generation-p2s-black-209.jpg?1754278546,,,,,,,,,,,,,,28opt
