,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
10,,https://28opt.ru/ez-tattoo/?sort=name&direction=DESC,,https://28opt.ru/images/products/tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-evo-tech-silver-56c.jpg?1742397784,,,,,,,,,,,,,,28opt
11,,https://28opt.ru/ez-tattoo/?sort=Price&direction=DESC,,https://28opt.ru/images/products/rotornaja-tatu-mashinka-ez-astral-purple-b15.jpg?1710913794,,,,,,,,,,,,,,28opt
12,,https://28opt.ru/ez-tattoo/?sort=rating&direction=ASC,,https://28opt.ru/images/products/rotornaja-tatu-mashinka-ez-traxex-silver-1-09f.jpg?1734089110,,,,,,,,,,,,,,28opt
13,"Тату-машинка для художественной татуировки EZ Portex Generation P2S, Black",https://28opt.ru/ez-tattoo/tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-portex-generation-p2s-black/,10580,https://28opt.ru/images/products/tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-portex-generation-p2s-black-c06.jpg?1754278546,197 г,,,"3,5 мм",1800 мАч,5-9 В постоянного тока,,авиационный алюминий,,EZ Customized Swiss Motor,EZ Tattoo (КНР),6 месяцев,10800 об / мин ± 10%,28opt
14,"Роторная тату-машинка для художественной татуировки EZ Filter V2 Plus, Dark Gray",https://28opt.ru/ez-tattoo/rotornaja-tatu-mashinka-ez-filter-v2-plus-silver/,5950,https://28opt.ru/images/products/rotornaja-tatu-mashinka-ez-filter-v2-plus-silver-45a.jpg?1761289400,,,,"3,8 мм",,6-11 В,,авиационный алюминий,,,EZ Tattoo (КНР),,,28opt
15,"Тату-машинка для художественной татуировки EZ P4 SE, Matte Black",https://28opt.ru/ez-tattoo/p4-se-matte-black/,8344,https://28opt.ru/images/products/p4-se-matte-black-baf.jpg?1710913794,195 г,,,"3,5 мм",,,,авиационный алюминий,,,EZ Tattoo (КНР),,7000-9000,28opt
16,"Роторная тату-машинка для художественной татуировки EZ Filter V2 Plus, Bronze",https://28opt.ru/ez-tattoo/rotornaja-tatu-mashinka-ez-filter-v2-plus-bronze/,5950,https://28opt.ru/images/products/rotornaja-tatu-mashinka-ez-filter-v2-plus-bronze-dde.jpg?1761289417,,,,"3,8 мм",,6-11 V,,авиационный алюминий,,,EZ Tattoo (КНР),,,28opt
17,Роторная тату-машинка для художественной татуировки EZ-Circle,https://28opt.ru/ez-tattoo/rotornaja-tatu-mashinka-ez-circle/,11909,https://28opt.ru/images/products/rotornaja-tatu-mashinka-ez-circle-fed.jpg?1734088991,300 г,,,,,,,авиационный алюминий,,10 Вт,EZ Tattoo (КНР),,,28opt
18,"Роторная тату-машинка для художественной татуировки EZ, Portex Gen2 VERSATILE, Black",https://28opt.ru/ez-tattoo/rotornaja-tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-p2-pen-black-1/,12035,https://28opt.ru/images/products/rotornaja-tatu-mashinka-dlja-hudozhestvennoj-tatuirovki-ez-p2-pen-black-1-1c8.jpg?1710913794,185 г,,,"3,5 мм",1000 мАч,5-12 В,,,,EZ Customized Swiss Motor,EZ Tattoo (КНР),6 месяцев,,28opt
19,EZ P5 Touchscreen Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-p5-touchscreen/?oid=50072#props,16112,https://fenix-tattoo.ru/upload/iblock/5d7/5cuwpo1okg9wkav4x1c6pe8h1l2ybckk.gif,178,5,2,3.5,1800,,,Аллюминий,,External Rotor Brushless Motor,Китай,6 месяцев,9000,fenix-tattoo
20,Eikon Symbeos Lining Machine,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/eikon-symbeos-lining-machine/#props,22797,https://fenix-tattoo.ru/upload/iblock/86b/rxfloh67xqmvo7lwgdu0qmysc24gnrmj.jpeg,,,,3.4,,,,,,Symbeos №4,Канада,,,fenix-tattoo
21,Inox Prime RUNIC ARCANA,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/inox-prime-runic-arcana/#props,22338,https://fenix-tattoo.ru/upload/iblock/c39/h3gou1uq1jotc90vknk153eje91dmgna.jpeg,,6,2,"2.4, 2.7, 3.0, 3.3, 3.6, 3.8, 4.2",1800,,,,9,бесколлекторный Inox Prime,Польша,1 год,11000,fenix-tattoo
22,EZ P2 EPIC Black 3.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-p2-epic/?oid=48873#props,16678,https://fenix-tattoo.ru/upload/iblock/d34/nhasncrkdviky8h76t1o4joujldwg2lq.webp,,,,"3.5, 4.5",,,,,,,Китай,,,fenix-tattoo
23,Mast Tour Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-tour-mini/?oid=34312#props,6354,https://fenix-tattoo.ru/upload/iblock/ab6/hv2qpvfqgptfr1fltjmi35eoat68c4hu.jpg,,,,,,,,,,,Китай,,,fenix-tattoo
24,GLOVCON Mini PMU,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/glovcon-mini-pmu/#props,28934,https://fenix-tattoo.ru/upload/iblock/c79/xtb5yw75hbssqkrycdu6kptr2wkr81nj.jpg,,,,,,,,,,,,,,fenix-tattoo
25,Ambition Ninja Pro Version 2 Gold,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-ninja-pro-version-2/?oid=51421#props,12348,https://fenix-tattoo.ru/upload/iblock/fb9/430zufzpt2hhnqqunvp6206fdc2i3xxi.jpg,,7,3,3.5,2400,,,,12,Japan Coreless Motor,Китай,6 месяцев,10500,fenix-tattoo
26,Equalizer Wireless Neutron Rotary Tattoo Machine 3.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/equalizer-wireless-neutron-rotary-tattoo-machine/?oid=53015#props,52082,https://fenix-tattoo.ru/upload/iblock/706/852xs6rmuw8by4kh53bhfeg3phewatsj.jpg,,,,"3.5, 4.0",,,,,,,,,,fenix-tattoo
27,EZ Filter Freedom Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-filter-freedom/?oid=55837#props,5873,https://fenix-tattoo.ru/upload/iblock/856/h2gs9mjb3l9e6daacdrjy2d6rlcwzye1.jpg,200,5,2,3.5,1500,6 - 9,,Аллюминий,12,Coreless Motor,Китай,6 месяцев,10000,fenix-tattoo
28,ABS Zetton Wireless Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/abs-zetton-wireless/?oid=57434#props,12180,https://fenix-tattoo.ru/upload/iblock/594/otlt8czvl9w0mpy7ik2rr62aau2f1uf3.jpg,213,6,3,"3.5, 4.0",2400,,,Аллюминий,8,Brushless motor,Китай,6 месяцев,10000,fenix-tattoo
