,Название,Ссылка на продукт,Цена,Фотография,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,source
860,InkJecta Flite Nano Lite Stealth Matte,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/inkjecta-flite-nano-lite/?oid=34842#props,53298,https://fenix-tattoo.ru/upload/iblock/29c/z03h7p3a503elqh1nde83g7xusbafjfc.jpg,,,,,,,,,,,,,,fenix-tattoo
861,Ambition Zetton Wireless Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-zetton-wireless/?oid=51467#props,13554,https://fenix-tattoo.ru/upload/iblock/a01/jfl3twd9ij7ts8c8jy5ngzfeombqzb3y.jpg,213,6,3,"3.4, 3.8",2400,,,Аллюминий,8,Brushless motor,Китай,6 месяцев,10000,fenix-tattoo
862,Mast Archer S Matte Black,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-archer-s/?oid=56453#props,19499,https://fenix-tattoo.ru/upload/iblock/53f/nxbpr7yasfq41k678fj3kjacf3a12wdq.jpeg,,4,1,4.2,1520,,,Аллюминий,12,бесщеточный Mcore,Китай,6 месяцев,11500,fenix-tattoo
863,Ambition Mars-U Gold,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-mars-u/?oid=50388#props,13272,https://fenix-tattoo.ru/upload/iblock/450/y2uzmlf0mmramy0fk3lxqnnl7n3quyxg.jpg,217,6,2,"2.2, 2.6, 3.0, 3.4, 3.8, 4.2",1800,,,Аллюминий,10,built-in coreless motor,Китай,6 месяцев,9000,fenix-tattoo
864,CNC X-WE Pro Wireless Tattoo Pen,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/cnc-x-we-pro-wireless-tattoo-pen/#props,26649,https://fenix-tattoo.ru/upload/iblock/8b1/f79x0gg1a9zcwxajw73tqfziat8cjjsh.jpg,,"3,5","1,5","3.0, 3.5, 4.0",1000,,,,,Customized Germany Motor X-II,Китай,6 месяцев,10000,fenix-tattoo
865,Mast Lancer Black 3.5 mm,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-lancer/?oid=53504#props,15117,https://fenix-tattoo.ru/upload/iblock/d83/0vttykyucc2cdeb0fyszvyymhodnzhr7.jpg,,12,2 - 3,"3.5, 4.2",1800,,,,12,,Китай,6 месяцев,10500,fenix-tattoo
866,Mast P20 Purple,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-p20/?oid=51525#props,11603,https://fenix-tattoo.ru/upload/iblock/07a/b9x0ze825ykk5q31rxpnu4s4djy20xin.webp,,,,2.5,,,,,,,,,,fenix-tattoo
867,Microbeau (FK Irons) Xion Mini GunMetal,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/fkirons-xion-mini/?oid=45039#props,47471,https://fenix-tattoo.ru/upload/iblock/004/du7nenbvbnkuh4sz3mntb6l0aec00k4j.jpg,,,,2.5,,,,,,,США,,,fenix-tattoo
868,Mast Fold 2 Pro Wireless Two Grips Gold,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-fold-2-pro-wireless-two-grips/?oid=54705#props,15173,https://fenix-tattoo.ru/upload/iblock/28d/v1kjzz7kmy2mya25ke4y46djhts3vcdc.jpeg,298,5 - 7,2 - 3,"2.4, 4.2",2000,,,,8,MCore-C1,Китай,6 месяцев,6500,fenix-tattoo
869,Ambition C1 Adjustable,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ambition-c1-adjustable/#props,7056,https://fenix-tattoo.ru/upload/iblock/bab/pyb1g7gc55clp8uwb08t02h89vhmm6bv.jpeg,237,5,3,"2.0, 2.3, 2.6, 3.0, 3.4, 4.2",1900,,,,10,бесколлекторный фирменный Ambition,Китай,6 месяцев,9000,fenix-tattoo
