,Название,Цена,Вес,Время работы,Время зарядки,Длина хода,Емкость батареи,Рабочее напряжение,Модель,Материал,Мощность,Мотор,Производство,Гарантия,Об / мин,Ссылка на продукт,Фотография,source
22,EQUALISER Mikron Grey,38309,,,,3.5,,,,,4.5,Faulhaber,Польша,,,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/equaliser-mikron/?oid=45907#props,https://fenix-tattoo.ru/upload/iblock/771/55smym0njyjty3lifpz6uvkwxsebx2rp.jpg,fenix-tattoo
23,INKin HOVER FM Dotwork Black,13041,226,5,2,3.5,1800,,,Аллюминий,,INKin Customized Swiss Motor,Китай,6 месяцев,10000,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/inkin-hover-fm-dotwork/?oid=57168#props,https://fenix-tattoo.ru/upload/iblock/a5d/pvyugnfd703v0mkhjfvmylj0c2wpi1vy.jpeg,fenix-tattoo
24,EZ P2 DotFree Black,16494,,,,3.5,,,,,,,Китай,,,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-p2-dotfree/?oid=50067#props,https://fenix-tattoo.ru/upload/iblock/445/xklqo0bvdx9p2tb626463s3iw95fps7l.webp,fenix-tattoo
25,EZ Filter Tora Black,5330,196,5,2,3.5,1600,,,Аллюминий,,Coreless Motor,Китай,6 месяцев,10000,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-filter-tora/?oid=55842#props,https://fenix-tattoo.ru/upload/iblock/cd7/47phn9sh30vlgrxk8iwdp5xyi9kyiilz.jpg,fenix-tattoo
26,EZ EvoTech S Black 3.5 mm,8883,,4,2,"3.5, 4.0",1520,,,Аллюминий,,EZ Customized Swiss Motor,Китай,6 месяцев,12000,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-evotech-s/?oid=45196#props,https://fenix-tattoo.ru/upload/iblock/bcc/akatzxk2b5otpw48008vknef5bi97vwp.webp,fenix-tattoo
27,EZ Lola Air S PMU Silver 1 PowerBolt,8545,105,4 - 6,2,3.0,1200,,,Аллюминий,,Coreless Motor,Китай,6 месяцев,8000 - 10000,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-lola-air-s-pmu/?oid=54510#props,https://fenix-tattoo.ru/upload/iblock/3ad/geezh8b1xyzpoqnm2u1j1rx4ic6ngy97.jpg,fenix-tattoo
28,Skinductor Vertigo GO! Soft,12767,,,,3.5,,,,,,,Россия,,,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/skinductor-vertigo-go-soft/#props,https://fenix-tattoo.ru/upload/iblock/5dd/mdvvs0owiz53a7oona4rxjb6qkj8py6t.jpeg,fenix-tattoo
29,Mast Nano Wireless Rotary Pen Machine with Battery PMU SMP,14451,146,6,3,3.2,1200,,,Аллюминий,,,Китай,6 месяцев,9000,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mast-nano-wireless-rotary-pen-machine-with-battery-pmu-smp/#props,https://fenix-tattoo.ru/upload/iblock/ce4/40d4b0t85ugovnqb056k3y36lewyvzw2.webp,fenix-tattoo
30,EZ Defender X Silver 3.5 mm,11462,,,,"3.5, 4.0",,,,,,,Китай,6 месяцев,,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/ez-defender-x/?oid=47253#props,https://fenix-tattoo.ru/upload/iblock/68a/qv9nd20c6mnxdvassmf86hk41kr8f131.webp,fenix-tattoo
31,MT Mustang Tattoo Evolution,50815,179 - 198,4 - 6 / 12 - 16,"1,2 / 3",3.8,18350 - 18650,,,Аллюминий,6,,Россия,1 год,,https://fenix-tattoo.ru/catalog/tatuirovochnye-mashinki/rotornye-mashinki/mt-mustang-tattoo-evolution/#props,https://fenix-tattoo.ru/upload/iblock/bf5/np9yz3yj6jtm0i7gjchxuaw9bs5oogr2.jpg,fenix-tattoo
